Year,EPU,ZooplMeanVol100m3,ZooplBiomassLogMean,ZooplBiomassAnomaly
2004,GOM,39.07309169,1.591877777,0.73655507
2005,GOM,25.39158492,1.40468981,-0.83595229
2006,GOM,39.03897456,1.591498402,0.73336806
2007,GOM,33.44478206,1.52432837,0.169093707
2008,GOM,26.75117901,1.427342928,-0.645650559
2009,GOM,40.14674072,1.603650293,0.835452288
2010,GOM,25.87488066,1.412878355,-0.767162889
2011,GOM,25.71074965,1.41011474,-0.790379159
2012,GOM,27.09352578,1.432865525,-0.59925695
2013,GOM,23.43006319,1.36977346,-1.12927359
2014,GOM,18.39756956,1.264760454,-2.011454898
2015,GOM,42.49261962,1.628313506,1.042640196
2016,GOM,39.97601673,1.601799518,0.819904508
2017,GOM,34.39996121,1.536557953,0.271830593
1977,SS,37.61007222,1.575304167,1.563083847
1978,SS,35.37892442,1.548744625,1.373646048
1979,SS,31.8237074,1.502750773,1.045591663
1980,SS,27.37901913,1.437417885,0.579600254
1981,SS,27.91802885,1.445884752,0.639990774
1982,SS,29.85019132,1.474947119,0.84728015
1983,SS,14.92622035,1.173949849,-1.299604023
1984,SS,14.73505813,1.168351854,-1.339532116
1985,SS,28.93943658,1.461490072,0.751296815
1986,SS,20.7960404,1.317980652,-0.272294197
1987,SS,19.98975561,1.300807485,-0.394783024
1988,SS,12.60988064,1.100710976,-1.821985429
1989,SS,15.00199449,1.176149002,-1.28391841
1990,SS,32.26618613,1.508747635,1.088364702
1991,SS,12.6426819,1.101839211,-1.813938211
1992,SS,24.15314815,1.382973745,0.191273601
1993,SS,22.62817636,1.354649555,-0.010750676
1994,SS,27.47598086,1.438953205,0.590551031
1995,SS,17.73702547,1.24888079,-0.765153822
1996,SS,25.1499259,1.40053671,0.31654268
1997,SS,26.09859295,1.416617094,0.431237149
1998,SS,22.06647059,1.343732876,-0.088614657
1999,SS,24.81313095,1.394681568,0.274780467
2000,SS,26.56434374,1.424299091,0.486029535
2001,SS,44.03987467,1.643846074,2.051963812
2002,SS,13.99409259,1.145944743,-1.499352405
2003,SS,26.0059506,1.415072733,0.420221888
2004,SS,20.41265009,1.309899391,-0.329934362
2005,SS,15.62808081,1.193905648,-1.157267881
2006,SS,16.41594114,1.215265786,-1.004915196
2007,SS,17.00035714,1.230458045,-0.896555342
2008,SS,18.43141137,1.265558592,-0.646198225
2009,SS,32.57318374,1.512860209,1.117697928
2010,SS,15.4283658,1.188319927,-1.197108427
2011,SS,24.86550027,1.395597201,0.281311289
2012,SS,21.122,1.324735038,-0.224118066
2013,SS,28.99912983,1.462384966,0.757679714
2014,SS,14.79781314,1.170197539,-1.326367635
2015,SS,31.74100508,1.501620675,1.037531159
2016,SS,31.38334625,1.496699248,1.002428741
2017,SS,26.89447812,1.429663121,0.524288856
