"year","area","var.name","ncell","var.wgt.mean","var.min","var.max","var.sd","var.med"
1993,0,"T_min",1,5.48035017015,5.48035017015,5.48035017015,NA,5.48035017015
1993,1010,"T_min",121,3.61240122174484,3.07519358129265,4.37644582986832,0.337301067198979,3.5241300906351
1993,1020,"T_min",114,3.77618811513943,3.04558631826279,4.85363015260735,0.444092285226666,3.84206256371797
1993,1030,"T_min",27,5.23838709628824,4.57228637277987,5.982466389468,0.372485634708486,5.20891698516491
1993,1040,"T_min",4,5.9448397647921,5.77071632568357,6.29781724214457,0.239582435231074,5.85552656423798
1993,1050,"T_min",73,2.85661171604471,2.00687557908424,3.83663443475962,0.396557204907933,2.85442672669888
1993,1060,"T_min",144,3.49385401142112,2.60138276029616,4.66387353973227,0.511091963360567,3.5763945677306
1993,1070,"T_min",29,4.11691119500896,3.70892467912927,5.0116466554549,0.296699029874518,4.06657806860351
1993,1080,"T_min",2,4.32227553001145,4.18319625307784,4.46169714791838,0.196929871308267,4.32244670049811
1993,1090,"T_min",74,4.19535603673096,1.74325425858901,7.80401901449428,0.950966024880581,3.99825787697318
1993,1100,"T_min",112,3.96899475590124,3.56563007086515,5.19564169440541,0.324736747477731,3.90918179636158
1993,1110,"T_min",22,4.62488883448405,3.81510409344664,5.39096615382529,0.421775033838735,4.60361111539039
1993,1120,"T_min",1,4.80175935801472,4.80175935801472,4.80175935801472,NA,4.80175935801472
1993,1610,"T_min",52,5.88751732240027,5.38943567871594,6.48277535141016,0.245861333465498,5.87865440195249
1993,1620,"T_min",10,5.93430814721826,5.59461883544474,6.43896875325748,0.242183898473724,5.91725074899823
1993,1630,"T_min",2,5.53893059009508,5.5111866958717,5.56667448431846,0.0392357914837484,5.53893059009508
1993,1650,"T_min",61,5.25003354094774,4.57086925704166,5.68749086361461,0.224972235995112,5.26928809938922
1993,1660,"T_min",27,5.57405286777457,5.25296662907785,5.94802627435596,0.157328008441934,5.59260265779262
1993,1670,"T_min",6,5.70846760372702,5.55402031644071,5.92719603972628,0.162486514265506,5.64129808380808
1993,1690,"T_min",89,4.88978270692302,4.38083446147916,5.25210932147497,0.245631908248287,4.93981639780204
1993,1700,"T_min",50,5.18211500978888,4.83183043130367,6.13716935282152,0.242658605184502,5.16558391310954
1993,1710,"T_min",10,5.5347602875297,5.35966073638917,5.61211884277007,0.0920494907748933,5.58472222565617
1993,1720,"T_min",1,5.73184079588642,5.73184079588642,5.73184079588642,NA,5.73184079588642
1993,1730,"T_min",83,4.5452256646335,3.86052246327456,4.87613008681002,0.232737119818197,4.62088554412952
1993,1740,"T_min",59,4.7356654630234,4.20747655403225,5.8991974007608,0.433216209328936,4.58203092099249
1993,1750,"T_min",5,5.62149898843857,5.32599644071863,5.9827537058561,0.322739583682393,5.45722715028108
1993,1760,"T_min",2,5.73340690390449,5.71686757526091,5.74996033239397,0.0234001129769463,5.73341395382744
1993,3020,"T_min",1,2.47823368120181,2.47823368120181,2.47823368120181,NA,2.47823368120181
1993,3440,"T_min",2,5.68418655201781,5.67216037307718,5.69621273095845,0.0170075853613721,5.68418655201781
1993,3450,"T_min",1,2.49715351452921,2.49715351452921,2.49715351452921,NA,2.49715351452921
1993,3550,"T_min",8,6.47354116762698,4.7439911549475,9.41646840001377,1.81403283938942,5.93081948425472
1994,0,"T_min",1,5.46152528886922,5.46152528886922,5.46152528886922,NA,5.46152528886922
1994,1010,"T_min",121,3.76656104471888,1.58363599330187,4.67160337175722,0.521872665160783,3.80362988140832
1994,1020,"T_min",114,3.8869788139222,3.16173616595112,7.29976379044403,0.523521648175048,3.86081149359525
1994,1030,"T_min",27,5.55848482050861,4.41429801383431,7.92223169899832,0.96915022222593,5.15671028264091
1994,1040,"T_min",4,5.18587004210498,5.09695022269617,5.29126218785315,0.0931985948488941,5.17763734519864
1994,1050,"T_min",73,2.50811285267411,1.27858842456551,3.3746028439208,0.498688909420522,2.53384947923653
1994,1060,"T_min",144,3.57025285078969,1.98871912105648,5.58918131682186,0.846594898210606,3.32826025345576
1994,1070,"T_min",29,5.98897700925434,5.20270555736163,8.21890795229594,0.765122197107451,5.83966495897037
1994,1080,"T_min",2,5.9201554772361,5.02761376276308,6.81050561192507,1.26069491666467,5.91905968734407
1994,1090,"T_min",74,3.27039571808705,1.34119262068786,5.5363716885017,1.47602838217629,3.40778834000229
1994,1100,"T_min",112,4.01563441740182,1.77005863754071,6.18095621583087,0.793011298711273,3.952465341523
1994,1110,"T_min",22,5.2083832037605,4.15598152361073,6.07607151411384,0.510618074347469,5.33644986857816
1994,1120,"T_min",1,5.28826421480866,5.28826421480866,5.28826421480866,NA,5.28826421480866
1994,1610,"T_min",52,6.54536862754803,5.67657010540954,9.6220818628951,0.894526584058361,6.12993703012019
1994,1620,"T_min",10,6.9222623268578,5.89272641645678,8.00009320060088,0.637867298711514,6.77436499805192
1994,1630,"T_min",2,6.24834509656435,6.15728041346159,6.33940977966711,0.128784909897131,6.24834509656435
1994,1650,"T_min",61,5.46283190134861,4.13556552679184,6.05824551907609,0.318125589710756,5.46732545953249
1994,1660,"T_min",27,5.814085153617,5.26246347339869,7.33478806167841,0.540296799664435,5.64601326941706
1994,1670,"T_min",6,6.35791111264358,5.3850410675223,7.09746620209142,0.650540145685274,6.39655163210863
1994,1690,"T_min",89,4.89384224863101,3.59813299095972,5.94544768215948,0.52765570836399,5.02183525046088
1994,1700,"T_min",50,6.09890281070789,5.38710730730863,9.28443096189541,0.745781603742747,5.8842326102479
