Year,GB,GOM,SS,MAB
1977,-0.705833577,-1.070739009,-0.216523484,-1.372052265
1978,-0.847662383,-0.644524335,-0.377820411,-1.760101768
1979,-0.156399159,-0.522839885,0.467049209,-0.342723953
1980,-0.230941578,-1.13124032,-0.246493203,-1.14511851
1981,NA,NA,NA,NA
1982,0.490854921,0.151618996,-0.357508232,-1.940475135
1983,NA,-0.615878348,NA,NA
1984,NA,NA,NA,NA
1985,-0.296059741,0.265712891,0.840619172,0.410022929
1986,-0.498676622,0.359287632,0.702646713,0.843369768
1987,-1.623709731,-0.808836797,-0.480878156,-0.802518196
1988,NA,NA,NA,NA
1989,NA,NA,NA,4.16609693
1990,NA,NA,NA,NA
1991,-0.949521138,-0.56595625,-0.26927038,-0.979796163
1992,-1.022422009,-1.461124331,-0.398892508,-1.774056347
1993,-0.912762551,-0.821410526,-0.107976401,-2.15735962
1994,0.736865199,0.715039681,1.164333522,-0.356699483
1995,0.035800393,0.258012668,0.477053646,0.697813745
1996,-1.483856321,-0.422714775,-0.644915002,-1.756753473
1997,0.627660075,-0.109934682,-0.356325555,0.220164054
1998,-0.372174418,-0.968790512,-1.855341308,-1.131986416
1999,1.406087869,0.316024412,0.720074005,1.131797896
2000,0.131111146,0.314618891,0.37044559,0.890741552
2001,-0.179348523,-0.26407947,-0.911462744,-0.939395607
2002,0.841883372,0.663332518,0.447369188,0.964155998
2003,-1.015940057,-0.559680244,-0.080354539,-0.807463531
2004,-1.788578662,-1.415254959,-1.16119476,-1.760141846
2005,-1.106234309,-0.289721042,-0.489636787,-0.48129439
2006,0.196614721,0.472184029,0.172322016,0.87273987
2007,-1.008562059,-0.497625566,-0.953252597,-0.381252204
2008,-0.089769273,-0.480139167,-0.727581091,-0.164682113
2009,-0.468832914,-0.730710247,-0.823141147,0.275001168
2010,0.265255469,0.748028556,0.311759411,-0.14490088
2011,-0.137670437,0.77911321,0.358666194,0.048211919
2012,1.027491992,0.985637877,0.878171201,0.357476658
2013,0.703422236,0.955507088,0.642087796,-0.148421147
2014,1.070967888,0.504112841,1.270341707,0.563097774
2015,-0.444028979,NA,NA,0.55644734
2016,0.929989732,0.265190779,0.731707318,1.109080049
2017,NA,NA,NA,NA
2018,0.994825657,0.646829387,1.26559842,0.098265999
2019,1.386089959,0.85551625,1.140855372,0.541576533
2020,NA,NA,NA,NA
2021,1.849396507,1.277551376,1.290881228,1.192266967
