"","x"
"GB_2000",0.916066413032937
"GB_2001",0.919864324404691
"GB_2002",0.915036159767486
"GB_2003",0.924170957389954
"GB_2004",0.91170223956753
"GB_2005",0.919513249194689
"GB_2006",0.919426175730513
"GB_2007",0.929080617520076
"GB_2008",0.92597500847669
"GB_2009",0.928176736226544
"GB_2010",0.910683762344709
"GB_2011",0.914623259163276
"GB_2012",0.865797096065566
"GB_2013",0.89384926530281
"GB_2014",0.872264364116786
"GB_2015",0.869247551293177
"GB_2016",0.857059689871741
"GB_2017",0.885331272749947
"GB_2018",0.86636039351679
"GB_2019",0.904929564056858
"GOM_2000",0.878683255654755
"GOM_2001",0.88242088889177
"GOM_2002",0.88796300234662
"GOM_2003",0.87555446027087
"GOM_2004",0.864747287322516
"GOM_2005",0.857984123173092
"GOM_2006",0.879373069115559
"GOM_2007",0.893269446061042
"GOM_2008",0.880730424097726
"GOM_2009",0.894319040104865
"GOM_2010",0.872135365531912
"GOM_2011",0.881116690974361
"GOM_2012",0.870409713507746
"GOM_2013",0.875264682020066
"GOM_2014",0.888859950887581
"GOM_2015",0.913315569837858
"GOM_2016",0.902868643065394
"GOM_2017",0.890857661212469
"GOM_2018",0.899210391044392
"GOM_2019",0.858286599099926
"MAB_2000",0.882628849751556
"MAB_2001",0.899542117555146
"MAB_2002",0.890236366277263
"MAB_2003",0.905540605767489
"MAB_2004",0.909668432801342
"MAB_2005",0.894037591311793
"MAB_2006",0.890881315448215
"MAB_2007",0.876768763389253
"MAB_2008",0.885962739156463
"MAB_2009",0.874023337549851
"MAB_2010",0.88414909939532
"MAB_2011",0.875924056525159
"MAB_2012",0.81466296290743
"MAB_2013",0.843372572668183
"MAB_2014",0.846247667918105
"MAB_2015",0.855134683996197
"MAB_2016",0.828623995749365
"MAB_2017",0.88375938430701
"MAB_2018",0.866505457829759
"MAB_2019",0.845077570687395
"SS_2000",0.903195336574435
"SS_2001",0.90454232109887
"SS_2002",0.898944178247372
"SS_2003",0.896897808556996
"SS_2004",0.89053030891372
"SS_2005",0.901135492465149
"SS_2006",0.903825238922786
"SS_2007",0.917223966849536
"SS_2008",0.926821638900408
"SS_2009",0.888990237635962
"SS_2010",0.882531532260831
"SS_2011",0.898136783284299
"SS_2012",0.866417467164642
"SS_2013",0.864320662946285
"SS_2014",0.888316885583939
"SS_2015",0.882258458517314
"SS_2016",0.871996536450549
"SS_2017",0.847556431862747
"SS_2018",0.829980544125196
"SS_2019",0.851607299496116
