Species,EPU,sex,YEAR,MeanCond,nCond,n
American Plaice,SS,M,2012,99.37001592720527,32,26
American Plaice,SS,M,2013,104.73353210463303,19,26
American Plaice,SS,M,2014,102.484968585976,32,26
American Plaice,SS,M,2015,104.85376502711905,46,26
American Plaice,SS,M,2016,102.81927312543088,17,26
American Plaice,SS,M,2017,104.03097095959681,11,26
Atl Cod,SS,F,1992,99.19950775939331,38,27
Atl Cod,SS,F,1993,98.9064154390297,32,27
Atl Cod,SS,F,1994,98.06043970797259,53,27
Atl Cod,SS,F,1995,98.2978225244219,24,27
Atl Cod,SS,F,1996,97.30402492074097,18,27
Atl Cod,SS,F,1997,95.77809756888865,15,27
Atl Cod,SS,F,1998,99.81419562064947,22,27
Atl Cod,SS,F,1999,98.75606045670763,25,27
Atl Cod,SS,F,2000,97.44325678995513,23,27
Atl Cod,SS,F,2001,97.11586809192539,35,27
Atl Cod,SS,F,2002,98.39909306622127,38,27
Atl Cod,SS,F,2003,96.07878636225395,30,27
Atl Cod,SS,F,2004,96.08784273097334,27,27
Atl Cod,SS,F,2005,96.19651953060558,18,27
Atl Cod,SS,F,2006,99.31670947965853,13,27
Atl Cod,SS,F,2007,97.56507162516941,19,27
Atl Cod,SS,F,2008,97.20547345374304,18,27
Atl Cod,SS,F,2009,96.37076049208432,14,27
Atl Cod,SS,F,2010,98.152698928341,14,27
Atl Cod,SS,F,2011,97.03420458720315,30,27
Atl Cod,SS,F,2012,99.15341966539322,20,27
Atl Cod,SS,F,2013,98.1358791292651,15,27
Atl Cod,SS,F,2014,97.50660744252768,24,27
Atl Cod,SS,F,2015,99.33695009473355,55,27
Atl Cod,SS,F,2016,98.29334766279023,42,27
Atl Cod,SS,F,2017,98.44258858491469,10,27
Atl Cod,SS,F,2018,97.33253603158681,23,27
Atl Cod,SS,M,1992,98.16465780943108,23,27
Atl Cod,SS,M,1993,98.1514944019838,21,27
Atl Cod,SS,M,1994,96.6246422666365,37,27
Atl Cod,SS,M,1995,98.8997415138645,33,27
Atl Cod,SS,M,1996,99.71278212363217,19,27
Atl Cod,SS,M,1997,100.73068910950128,9,27
Atl Cod,SS,M,1998,96.97967046977686,23,27
Atl Cod,SS,M,1999,100.06100046663411,34,27
Atl Cod,SS,M,2000,98.23994825647686,13,27
Atl Cod,SS,M,2001,95.85068828803948,30,27
Atl Cod,SS,M,2002,97.84560704793196,32,27
Atl Cod,SS,M,2003,98.53085734561975,28,27
Atl Cod,SS,M,2004,97.64121303256098,43,27
Atl Cod,SS,M,2005,98.74483294024905,22,27
Atl Cod,SS,M,2006,95.90773380349633,9,27
Atl Cod,SS,M,2007,99.91416557981921,6,27
Atl Cod,SS,M,2008,100.36307121727096,19,27
Atl Cod,SS,M,2009,96.85017805244198,11,27
Atl Cod,SS,M,2010,97.91599421769054,22,27
Atl Cod,SS,M,2011,97.1272778002923,28,27
Atl Cod,SS,M,2012,98.1373375906539,20,27
Atl Cod,SS,M,2013,100.79565722269778,20,27
Atl Cod,SS,M,2014,93.46181889482003,7,27
Atl Cod,SS,M,2015,99.41268527299134,32,27
Atl Cod,SS,M,2016,99.4333295431531,29,27
Atl Cod,SS,M,2017,96.24887292156143,13,27
