StockName,Stock,SVSPP,Survey,Strata
Haddock - Gulf of Maine,GOM,74,NMFS spring BTS,"01260, 01270, 01280, 01360, 01370, 01380, 01390, 01400"
"Hake, Atlantic, Red - Northern",N,77,NMFS spring BTS,"01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Hake, Atlantic, Red - Southern",S,77,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Hake, Atlantic, White",Unit,76,NMFS spring BTS,"01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Hake, Offshore",Unit,69,NMFS spring BTS,"01030, 01040, 01070, 01080, 01110, 01120, 01140, 01150, 01170, 01180, 01630, 01640, 01670, 01680, 01710, 01720, 01750, 01760"
"Hake, Silver (Whiting) - Northern",N,72,NMFS spring BTS,"01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Hake, Silver (Whiting) - Southern",S,72,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Halibut, Atlantic",Unit,101,NMFS spring BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Herring, Atlantic, Sea",Unit,32,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Herring, Blueback",Unit,34,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01351, 01352, 01360, 01370, 01380, 01390, 01400, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440, 03450, 03460, 03470, 03480, 03490, 03500, 03510, 03530, 03540, 03560, 03570, 03590, 03600, 03610, 03620, 03640, 03650, 03660, 03670, 03680, 03690, 03700, 03710, 03720, 03730, 03740, 03750, 03760, 03770, 03780, 03790, 03800, 03810, 03820, 03830, 03840, 03850, 03860, 03870, 03880, 03910, 03920"
