"year","area","var.name","ncell","var.wgt.mean","var.min","var.max","var.sd","var.med"
1993,0,"T_mean",1,8.13336713016146,8.13336713016146,8.13336713016146,NA,8.13336713016146
1993,1010,"T_mean",121,7.08965726176426,6.7137425134338,7.55719121389038,0.175218408448314,7.07230748559354
1993,1020,"T_mean",114,7.28012538753217,6.67511624054917,7.88433280581843,0.3133880541105,7.29104754990198
1993,1030,"T_mean",27,7.69557046556395,7.06090678217622,8.12722774472889,0.314334206252683,7.75736261710262
1993,1040,"T_mean",4,7.76622371849932,7.43963123167521,8.09973658557558,0.281419476241845,7.76286748203977
1993,1050,"T_mean",73,7.14122038661176,6.72148147152217,7.69628022796534,0.218755106002086,7.11804407358753
1993,1060,"T_mean",144,7.27093302566485,6.73817675785604,8.09919574327777,0.373185275019949,7.1954660515955
1993,1070,"T_mean",29,6.6852350818525,5.39817974719948,7.87356977418197,0.715464776566568,6.80561884442168
1993,1080,"T_mean",2,6.38553047782898,6.02651264837676,6.74543202278422,0.508352764769906,6.38597233558049
1993,1090,"T_mean",74,7.65111606938608,6.72764446504113,9.3018309821009,0.519115496010293,7.57478132016178
1993,1100,"T_mean",112,7.52772401736115,6.70431486510908,9.03174031839846,0.577327728123849,7.33282467335865
1993,1110,"T_mean",22,6.75596762411725,5.75435919583318,8.02019789757087,0.718348747526684,6.73222669101015
1993,1120,"T_mean",1,7.85027956972461,7.85027956972461,7.85027956972461,NA,7.85027956972461
1993,1610,"T_mean",52,7.74596050513557,6.4881106635711,8.3770317587661,0.473784633667515,7.78250006260751
1993,1620,"T_mean",10,8.36244578810313,7.98467773586079,8.55208288264375,0.190665462753959,8.42735074521103
1993,1630,"T_mean",2,8.39731377544177,8.34326426697035,8.45136328391319,0.0764375479198824,8.39731377544177
1993,1650,"T_mean",61,8.16095533229402,7.84850009532746,8.61875237613363,0.171413089982559,8.13310081427823
1993,1660,"T_mean",27,8.10989835082373,7.82935182059174,8.31252537207711,0.136958505912028,8.14019961853691
1993,1670,"T_mean",6,8.0654283979198,7.93887026612261,8.28113988644801,0.143294319649996,7.9981607820539
1993,1690,"T_mean",89,7.94366030631016,7.69635093173871,8.17121867664272,0.117750919288168,7.92964533676943
1993,1700,"T_mean",50,7.86017865872529,7.21068747046637,8.34948332989618,0.279763172345906,7.80986090873309
1993,1710,"T_mean",10,7.93891597903428,7.76156126748653,8.14949814574438,0.155828576644307,7.92901073419413
1993,1720,"T_mean",1,7.96084028944968,7.96084028944968,7.96084028944968,NA,7.96084028944968
1993,1730,"T_mean",83,7.81481238084467,7.23457287480024,8.29903445694824,0.248619291736656,7.79859561026193
1993,1740,"T_mean",59,7.77902409464921,7.16708306561834,8.52248202529901,0.317127829155675,7.72435759128593
1993,1750,"T_mean",5,7.92317529726716,7.39753541087486,8.26617717776334,0.423000400228044,8.21061811594259
1993,1760,"T_mean",2,7.95631727339478,7.92562181051598,7.98703890428233,0.043428443482956,7.95633035739916
1993,3020,"T_mean",1,6.38989484808765,6.38989484808765,6.38989484808765,NA,6.38989484808765
1993,3440,"T_mean",2,6.53114264551309,6.44786700114113,6.61441828988505,0.117769545686184,6.53114264551309
1993,3450,"T_mean",1,6.81043969866282,6.81043969866282,6.81043969866282,NA,6.81043969866282
1993,3550,"T_mean",8,8.68842172548341,8.06840157923042,9.77515100181677,0.629965497014472,8.40409416040103
1994,0,"T_mean",1,7.7900205447956,7.7900205447956,7.7900205447956,NA,7.7900205447956
1994,1010,"T_mean",121,6.63841921844898,6.02740937677716,7.49248816709116,0.403021354279645,6.61926333311494
1994,1020,"T_mean",114,7.05510831177499,6.09571449465102,8.76031758181522,0.639788642049934,6.89791948844459
1994,1030,"T_mean",27,8.66353486741746,7.79351138984774,9.13818734995216,0.327309054507464,8.69368400810763
1994,1040,"T_mean",4,8.06716672855166,7.83445357084044,8.40717588140819,0.261381831934625,8.01411186205577
1994,1050,"T_mean",73,6.17139033203149,5.57060160407289,6.67340574635577,0.215210996614744,6.1918836476925
1994,1060,"T_mean",144,6.91800873668754,5.89111627894051,8.85764899001099,0.731332807814976,6.62278398009891
1994,1070,"T_mean",29,8.2354937167517,6.16942794572106,9.33557372678121,0.631028086862698,8.29360297388791
1994,1080,"T_mean",2,8.61362777586318,7.99826359828198,9.22748096558851,0.869187935974723,8.61287228193525
1994,1090,"T_mean",74,7.14561018928646,6.24283357535503,8.44337978158818,0.535765586612745,6.99235548729196
1994,1100,"T_mean",112,6.93644804625098,6.11904382720742,7.96767973814144,0.536838907089921,6.84132502584927
1994,1110,"T_mean",22,7.23130078615933,6.35686419035534,7.84070311003191,0.376217711117886,7.15577012527477
1994,1120,"T_mean",1,6.49217628030687,6.49217628030687,6.49217628030687,NA,6.49217628030687
1994,1610,"T_mean",52,7.81376921522095,6.843354889436,9.6220818628951,0.77902148322655,7.50132344789871
1994,1620,"T_mean",10,8.51437621512827,7.36270776710675,8.8355995849864,0.44552009448541,8.65781224245397
1994,1630,"T_mean",2,7.55521763662567,7.27811119176399,7.83232408148735,0.39188769254438,7.55521763662567
1994,1650,"T_mean",61,7.42269435869116,6.90987247283804,7.90960185047312,0.197833949513598,7.4158000825989
1994,1660,"T_mean",27,8.09401105990702,7.74206418296761,8.60365519129889,0.23351571712247,8.0463908933043
1994,1670,"T_mean",6,8.13337953031327,7.60956419539698,8.49813747711203,0.335800752788897,8.12471342642607
1994,1690,"T_mean",89,7.93600325090325,7.14661500784654,8.39182351499958,0.301333699629097,7.9586119286218
